SampleID,Y,X,Xnum,Replicate,pH
L1A,1,A,1,1,6.12
L1A,1,A,1,2,6.1
L1A,1,A,1,3,5.91
L2A,2,A,1,1,6.21
L2A,2,A,1,2,5.87
L2A,2,A,1,3,5.65
L3A,3,A,1,1,6.26
L3A,3,A,1,2,6.19
L3A,3,A,1,3,5.97
L4A,4,A,1,1,6.52
L4A,4,A,1,2,6.03
L4A,4,A,1,3,6.15
L5A,5,A,1,1,6.3
L5A,5,A,1,2,5.67
L5A,5,A,1,3,6.12
L6A,6,A,1,1,6.33
L6A,6,A,1,2,6.14
L6A,6,A,1,3,6.22
L1B,1,B,2,1,5.99
L1B,1,B,2,2,5.36
L1B,1,B,2,3,6.09
L2B,2,B,2,1,6.09
L2B,2,B,2,2,6.17
L2B,2,B,2,3,5.4
L3B,3,B,2,1,6.2
L3B,3,B,2,2,5.85
L3B,3,B,2,3,5.92
L4B,4,B,2,1,6.44
L4B,4,B,2,2,6.11
L4B,4,B,2,3,6.67
L5B,5,B,2,1,6.15
L5B,5,B,2,2,6.05
L5B,5,B,2,3,5.75
L6B,6,B,2,1,6.59
L6B,6,B,2,2,6.39
L6B,6,B,2,3,5.72
L1C,1,C,3,1,6.24
L1C,1,C,3,2,6.01
L1C,1,C,3,3,6.11
L2C,2,C,3,1,5.7
L2C,2,C,3,2,6.13
L2C,2,C,3,3,6.23
L3C,3,C,3,1,6.16
L3C,3,C,3,2,5.62
L3C,3,C,3,3,6.48
L4C,4,C,3,1,6.08
L4C,4,C,3,2,6.43
L4C,4,C,3,3,5.77
L5C,5,C,3,1,6.36
L5C,5,C,3,2,6.04
L5C,5,C,3,3,6.28
L6C,6,C,3,1,6.5
L6C,6,C,3,2,6.17
L6C,6,C,3,3,6.14
L1D,1,D,4,1,5.96
L1D,1,D,4,2,5.63
L1D,1,D,4,3,6.27
L2D,2,D,4,1,5.86
L2D,2,D,4,2,5.82
L2D,2,D,4,3,6.32
L3D,3,D,4,1,6.18
L3D,3,D,4,2,6.29
L3D,3,D,4,3,5.6
L4D,4,D,4,1,6.26
L4D,4,D,4,2,6.07
L4D,4,D,4,3,5.69
L5D,5,D,4,1,6.1
L5D,5,D,4,2,6.31
L5D,5,D,4,3,5.76
L6D,6,D,4,1,5.95
L6D,6,D,4,2,6.65
L6D,6,D,4,3,6.51
L1E,1,E,5,1,5.59
L1E,1,E,5,2,6.35
L1E,1,E,5,3,6.58
L2E,2,E,5,1,5.84
L2E,2,E,5,2,6.18
L2E,2,E,5,3,6
L3E,3,E,5,1,6.21
L3E,3,E,5,2,6.55
L3E,3,E,5,3,6.53
L4E,4,E,5,1,6.25
L4E,4,E,5,2,5.93
L4E,4,E,5,3,6.61
L5E,5,E,5,1,6.56
L5E,5,E,5,2,6.37
